Session ID,Player Name,Game Mode,Move Number,Timestamp,Direction,Score,Board State,Move Time,Tiles Added,Tiles Removed,Is Bad Move
20250802_143629_w22zx,"peter",countdown,52,2025-08-02T02:36:53.896Z,Left,396,"0,0,2,64,0,0,16,2,0,8,4,8,0,2,2,4",382,1,0,false
20250802_143629_w22zx,"peter",countdown,53,2025-08-02T02:36:54.872Z,Right,400,"0,8,2,64,0,2,16,2,0,2,4,8,0,0,2,4",976,1,1,false
20250802_143629_w22zx,"peter",countdown,54,2025-08-02T02:36:55.162Z,Left,400,"0,0,2,64,0,0,16,2,2,8,4,8,0,4,2,4",290,1,0,false
20250802_143629_w22zx,"peter",countdown,55,2025-08-02T02:36:56.470Z,Right,400,"2,8,2,64,0,4,16,2,0,2,4,8,0,0,2,4",1308,1,0,true
20250802_143629_w22zx,"peter",countdown,56,2025-08-02T02:36:56.820Z,Left,404,"2,0,2,64,0,8,16,2,0,4,4,8,2,2,2,4",350,1,1,false
20250802_143629_w22zx,"peter",countdown,57,2025-08-02T02:36:57.106Z,Down,408,"4,8,2,64,0,4,16,2,2,2,4,8,0,0,2,4",286,1,1,false
20250802_143629_w22zx,"peter",countdown,58,2025-08-02T02:36:57.298Z,Down,416,"4,8,2,64,2,4,16,2,0,4,4,8,0,0,2,4",192,1,1,false
20250802_143629_w22zx,"peter",countdown,59,2025-08-02T02:36:57.497Z,Down,432,"4,8,2,64,2,4,16,2,2,0,8,8,0,0,2,4",199,1,1,false
20250802_143629_w22zx,"peter",countdown,60,2025-08-02T02:36:57.682Z,Down,436,"4,8,2,64,2,4,16,2,0,0,2,16,0,2,2,4",185,1,1,false
20250802_143629_w22zx,"peter",countdown,61,2025-08-02T02:36:57.878Z,Down,448,"4,8,2,64,2,4,16,2,2,0,2,16,0,0,4,4",195,1,2,false
20250802_143629_w22zx,"peter",countdown,62,2025-08-02T02:36:58.078Z,Down,448,"4,8,2,64,2,4,16,2,0,0,4,16,2,0,0,8",201,1,0,false
20250802_143629_w22zx,"peter",countdown,63,2025-08-02T02:36:58.277Z,Down,452,"4,8,2,64,2,4,16,2,0,0,4,16,2,0,2,8",199,1,1,false
20250802_143629_w22zx,"peter",countdown,64,2025-08-02T02:36:59.034Z,Right,460,"4,8,2,64,2,4,16,2,0,2,4,16,0,0,4,8",757,1,1,false
20250802_143629_w22zx,"peter",countdown,65,2025-08-02T02:36:59.454Z,Down,524,"0,0,0,64,2,8,2,2,4,4,16,16,2,2,8,8",420,1,5,false
20250802_143629_w22zx,"peter",countdown,66,2025-08-02T02:36:59.671Z,Down,524,"0,0,0,64,0,2,8,4,2,0,8,32,0,0,4,16",216,1,0,false
20250802_143629_w22zx,"peter",countdown,67,2025-08-02T02:37:00.006Z,Left,544,"0,0,2,64,0,2,8,4,0,2,8,32,0,0,4,16",336,1,2,false
20250802_143629_w22zx,"peter",countdown,68,2025-08-02T02:37:00.206Z,Left,544,"0,4,2,64,0,0,16,4,0,0,4,32,2,0,0,16",200,1,0,false
20250802_143629_w22zx,"peter",countdown,69,2025-08-02T02:37:00.395Z,Down,544,"2,4,2,64,0,0,16,4,2,0,4,32,0,0,0,16",189,1,0,false
20250802_143629_w22zx,"peter",countdown,70,2025-08-02T02:37:01.006Z,Left,544,"2,4,2,64,0,0,16,4,0,2,4,32,0,0,2,16",611,1,0,false
20250802_143629_w22zx,"peter",countdown,71,2025-08-02T02:37:01.206Z,Right,548,"2,4,2,64,0,2,16,4,0,0,4,32,0,2,2,16",200,1,1,false
20250802_143629_w22zx,"peter",countdown,72,2025-08-02T02:37:01.423Z,Right,560,"2,0,2,64,0,0,16,4,0,4,4,32,2,4,2,16",217,1,2,false
20250802_143629_w22zx,"peter",countdown,73,2025-08-02T02:37:01.617Z,Right,560,"0,2,2,64,0,0,16,4,0,0,4,32,4,8,2,16",194,1,0,false
20250802_143629_w22zx,"peter",countdown,74,2025-08-02T02:37:02.264Z,Left,560,"0,0,2,64,0,0,16,4,2,2,4,32,4,8,2,16",647,1,0,false
20250802_143629_w22zx,"peter",countdown,75,2025-08-02T02:37:02.455Z,Left,560,"2,2,2,64,4,8,16,4,0,0,4,32,2,0,2,16",191,1,0,false
20250802_143629_w22zx,"peter",countdown,76,2025-08-02T02:37:02.807Z,Down,568,"2,2,2,64,4,8,16,4,2,2,4,32,0,0,2,16",352,1,2,false
20250802_143629_w22zx,"peter",countdown,77,2025-08-02T02:37:03.009Z,Down,580,"2,2,4,64,4,8,16,4,0,4,4,32,0,0,2,16",202,1,2,false
20250802_143629_w22zx,"peter",countdown,78,2025-08-02T02:37:03.198Z,Down,588,"0,4,4,64,4,8,16,4,0,2,8,32,0,0,2,16",189,1,1,false
20250802_143629_w22zx,"peter",countdown,79,2025-08-02T02:37:03.963Z,Left,588,"0,4,8,64,4,8,16,4,0,2,8,32,0,0,2,16",765,1,0,false
20250802_143629_w22zx,"peter",countdown,80,2025-08-02T02:37:04.216Z,Right,588,"4,4,8,64,0,8,16,4,0,2,8,32,0,4,2,16",253,1,0,false
20250802_143629_w22zx,"peter",countdown,81,2025-08-02T02:37:04.413Z,Right,596,"0,4,8,64,0,8,16,4,4,2,8,32,4,4,2,16",197,1,1,false
20250802_143629_w22zx,"peter",countdown,82,2025-08-02T02:37:04.613Z,Left,596,"0,4,8,64,0,8,16,4,2,2,8,32,8,4,2,16",200,1,0,false
20250802_143629_w22zx,"peter",countdown,83,2025-08-02T02:37:05.278Z,Right,596,"2,4,8,64,8,8,16,4,2,2,8,32,0,4,2,16",665,1,0,false
20250802_143629_w22zx,"peter",countdown,84,2025-08-02T02:37:05.737Z,Left,600,"2,4,8,64,2,8,16,4,8,2,8,32,2,4,2,16",459,1,1,false
20250802_143629_w22zx,"peter",countdown,85,2025-08-02T02:37:06.141Z,Down,628,"4,4,8,64,8,8,16,4,2,2,8,32,2,4,2,16",404,1,3,false
20250802_143629_w22zx,"peter",countdown,86,2025-08-02T02:37:06.740Z,Down,676,"0,8,8,64,0,16,16,4,2,4,8,32,2,4,2,16",599,1,2,false
20250802_143629_w22zx,"peter",countdown,87,2025-08-02T02:37:08.903Z,Left,688,"4,0,16,64,0,0,32,4,2,4,8,32,2,4,2,16",2163,1,2,false
20250802_143629_w22zx,"peter",countdown,88,2025-08-02T02:37:09.794Z,Right,696,"4,8,16,64,4,2,32,4,0,0,8,32,0,0,2,16",891,1,1,false
20250802_143629_w22zx,"peter",countdown,89,2025-08-02T02:37:10.297Z,Down,716,"0,0,16,64,4,0,32,4,0,8,8,32,8,2,2,16",502,1,2,false
20250802_143629_w22zx,"peter",countdown,90,2025-08-02T02:37:11.800Z,Left,716,"0,0,16,64,0,4,32,4,2,0,16,32,0,8,4,16",1504,1,0,false
20250802_143629_w22zx,"peter",countdown,91,2025-08-02T02:37:12.757Z,Down,716,"2,4,16,64,0,8,32,4,2,0,16,32,0,0,4,16",957,1,0,false
20250802_143629_w22zx,"peter",countdown,92,2025-08-02T02:37:13.239Z,Down,720,"2,4,16,64,0,8,32,4,2,2,16,32,0,0,4,16",482,1,1,false
20250802_143629_w22zx,"peter",countdown,93,2025-08-02T02:37:13.612Z,Right,720,"2,4,16,64,0,8,32,4,0,4,16,32,0,2,4,16",373,1,0,false
20250802_143629_w22zx,"peter",countdown,94,2025-08-02T02:37:14.340Z,Down,724,"0,4,16,64,4,8,32,4,0,4,16,32,2,2,4,16",728,1,1,false
20250802_143629_w22zx,"peter",countdown,95,2025-08-02T02:37:14.703Z,Down,732,"0,4,16,64,4,8,32,4,0,4,16,32,2,4,4,16",363,1,1,false
20250802_143629_w22zx,"peter",countdown,96,2025-08-02T02:37:15.895Z,Right,732,"0,4,16,64,4,8,32,4,2,4,16,32,0,2,8,16",1192,1,0,false
20250802_143629_w22zx,"peter",countdown,97,2025-08-02T02:37:16.328Z,Down,744,"0,4,16,64,2,8,32,4,4,4,16,32,2,2,8,16",433,1,2,false
20250802_143629_w22zx,"peter",countdown,98,2025-08-02T02:37:18.189Z,Right,764,"0,4,16,64,2,8,32,4,0,8,16,32,2,4,8,16",1861,1,2,true
20250802_143629_w22zx,"peter",countdown,99,2025-08-02T02:37:18.846Z,Down,804,"2,0,16,64,0,4,32,4,0,16,16,32,4,4,8,16",657,1,2,false
20250802_143629_w22zx,"peter",countdown,100,2025-08-02T02:37:19.261Z,Down,884,"0,2,16,64,0,4,32,4,2,0,32,32,0,8,8,16",415,1,2,false
20250802_143629_w22zx,"peter",countdown,101,2025-08-02T02:37:20.146Z,Down,916,"0,2,16,64,0,4,32,4,0,0,2,64,0,2,16,16",885,1,1,false
20250802_143629_w22zx,"peter",countdown,102,2025-08-02T02:37:21.412Z,Left,920,"0,2,16,64,0,4,32,4,0,2,2,64,0,0,2,32",1266,1,1,false
20250802_143629_w22zx,"peter",countdown,103,2025-08-02T02:37:23.955Z,Right,920,"0,2,16,64,0,4,32,4,0,2,4,64,0,0,2,32",2543,1,0,false
20250802_143629_w22zx,"peter",countdown,104,2025-08-02T02:37:24.996Z,Down,932,"0,0,16,64,0,2,32,4,2,4,4,64,0,2,2,32",1041,1,2,false
20250802_143629_w22zx,"peter",countdown,105,2025-08-02T02:37:25.631Z,Left,936,"0,0,16,64,0,2,32,4,2,2,8,64,0,0,4,32",635,1,1,false
20250802_143629_w22zx,"peter",countdown,106,2025-08-02T02:37:26.449Z,Right,936,"2,4,16,64,0,2,32,4,0,0,8,64,0,0,4,32",818,1,0,false
20250802_143629_w22zx,"peter",countdown,107,2025-08-02T02:37:26.846Z,Left,936,"0,0,16,64,0,2,32,4,0,4,8,64,2,2,4,32",397,1,0,false
20250802_143629_w22zx,"peter",countdown,108,2025-08-02T02:37:27.486Z,Down,944,"2,2,16,64,0,4,32,4,2,2,8,64,0,0,4,32",640,1,2,false
20250802_143629_w22zx,"peter",countdown,109,2025-08-02T02:37:27.861Z,Left,952,"0,4,16,64,0,4,32,4,0,4,8,64,0,2,4,32",375,1,1,false
20250802_143629_w22zx,"peter",countdown,110,2025-08-02T02:37:29.058Z,Right,952,"0,8,16,64,2,4,32,4,0,2,8,64,0,0,4,32",1197,1,0,false
20250802_143629_w22zx,"peter",countdown,111,2025-08-02T02:37:29.426Z,Left,952,"0,2,16,64,0,8,32,4,0,4,8,64,2,2,4,32",368,1,0,false
20250802_143629_w22zx,"peter",countdown,112,2025-08-02T02:37:29.915Z,Down,956,"2,2,16,64,0,8,32,4,2,4,8,64,0,2,4,32",489,1,1,false
20250802_143629_w22zx,"peter",countdown,113,2025-08-02T02:37:30.361Z,Left,960,"2,4,16,64,0,8,32,4,2,4,8,64,0,2,4,32",446,1,1,false
20250802_143629_w22zx,"peter",countdown,114,2025-08-02T02:37:30.860Z,Down,968,"4,4,16,64,0,8,32,4,2,4,8,64,0,2,4,32",499,1,1,false
20250802_143629_w22zx,"peter",countdown,115,2025-08-02T02:37:31.269Z,Left,988,"0,8,16,64,2,8,32,4,2,4,8,64,0,2,4,32",409,1,2,false
20250802_143629_w22zx,"peter",countdown,116,2025-08-02T02:37:31.685Z,Down,1020,"4,16,16,64,2,4,32,4,0,2,8,64,0,0,4,32",416,1,1,false
20250802_143629_w22zx,"peter",countdown,117,2025-08-02T02:37:32.517Z,Left,1096,"2,4,32,64,2,4,32,4,0,2,8,64,0,0,4,32",832,1,3,false
20250802_143629_w22zx,"peter",countdown,118,2025-08-02T02:37:32.899Z,Down,1232,"4,8,64,64,0,2,8,4,0,4,4,64,0,0,0,32",381,1,2,false
20250802_143629_w22zx,"peter",countdown,119,2025-08-02T02:37:33.673Z,Left,1252,"0,4,8,128,0,2,8,4,0,2,8,64,0,0,0,32",775,1,2,false
20250802_143629_w22zx,"peter",countdown,120,2025-08-02T02:37:34.589Z,Left,1260,"2,4,16,128,0,4,8,4,0,0,0,64,0,0,0,32",916,1,1,false
20250802_143629_w22zx,"peter",countdown,121,2025-08-02T02:37:35.234Z,Left,1260,"2,8,16,128,0,0,8,4,0,0,0,64,0,2,0,32",645,1,0,false
20250802_143629_w22zx,"peter",countdown,122,2025-08-02T02:37:36.909Z,Right,1260,"2,8,16,128,0,2,8,4,0,0,2,64,0,0,0,32",1675,1,0,false
20250802_143629_w22zx,"peter",countdown,123,2025-08-02T02:37:37.495Z,Left,1264,"0,0,0,128,0,0,16,4,2,8,8,64,2,2,2,32",586,1,1,false
20250802_143629_w22zx,"peter",countdown,124,2025-08-02T02:37:38.312Z,Right,1264,"4,8,16,128,0,2,8,4,2,0,2,64,0,0,0,32",817,1,0,false
20250802_143629_w22zx,"peter",countdown,125,2025-08-02T02:37:38.733Z,Down,1284,"0,0,0,128,4,0,16,4,4,8,8,64,2,2,2,32",421,1,2,false
20250802_143629_w22zx,"peter",countdown,126,2025-08-02T02:37:38.951Z,Down,1288,"0,0,0,128,0,4,16,4,0,4,16,64,2,2,4,32",218,1,1,false
20250802_143629_w22zx,"peter",countdown,127,2025-08-02T02:37:39.328Z,Left,1328,"0,0,0,128,0,4,16,4,2,4,16,64,0,4,4,32",377,1,2,false
20250802_143629_w22zx,"peter",countdown,128,2025-08-02T02:37:39.980Z,Right,1332,"2,8,32,128,0,4,4,4,0,0,0,64,2,0,0,32",652,1,1,false
20250802_143629_w22zx,"peter",countdown,129,2025-08-02T02:37:40.506Z,Down,1340,"0,0,0,128,0,0,0,4,2,8,32,64,4,4,4,32",526,1,1,false
20250802_143629_w22zx,"peter",countdown,130,2025-08-02T02:37:40.561Z,Left,1340,"0,2,0,128,0,0,0,4,2,8,32,64,0,4,8,32",55,1,0,false
20250802_143629_w22zx,"peter",countdown,131,2025-08-02T02:37:41.048Z,Left,1344,"2,2,32,128,2,8,8,4,0,4,0,64,0,0,0,32",487,1,1,false
20250802_143629_w22zx,"peter",countdown,132,2025-08-02T02:37:41.207Z,Down,1360,"4,2,32,128,0,8,8,4,0,4,0,64,0,0,2,32",159,1,1,false
20250802_143629_w22zx,"peter",countdown,133,2025-08-02T02:37:41.732Z,Right,1364,"4,2,32,128,0,0,16,4,0,2,4,64,0,0,2,32",525,1,1,false
20250802_143629_w22zx,"peter",countdown,134,2025-08-02T02:37:42.547Z,Left,1364,"2,0,32,128,0,0,16,4,0,0,4,64,4,4,2,32",815,1,0,false
20250802_143629_w22zx,"peter",countdown,135,2025-08-02T02:37:42.936Z,Down,1364,"2,4,32,128,4,0,16,4,0,2,4,64,0,0,2,32",389,1,0,false
20250802_143629_w22zx,"peter",countdown,136,2025-08-02T02:37:43.330Z,Right,1376,"2,4,32,128,0,4,16,4,0,2,4,64,0,2,2,32",394,1,2,false
20250802_143629_w22zx,"peter",countdown,137,2025-08-02T02:37:44.168Z,Left,1376,"0,0,32,128,0,2,16,4,0,8,4,64,2,4,2,32",838,1,0,true
20250802_143629_w22zx,"peter",countdown,138,2025-08-02T02:37:44.613Z,Down,1392,"2,2,32,128,0,8,16,4,0,4,4,64,2,0,2,32",445,1,3,false
20250802_143629_w22zx,"peter",countdown,139,2025-08-02T02:37:47.155Z,Right,1392,"2,4,32,128,0,8,16,4,0,0,8,64,0,0,4,32",2542,1,0,false
20250802_143629_w22zx,"peter",countdown,140,2025-08-02T02:37:47.611Z,Left,1396,"0,0,32,128,0,0,16,4,2,4,8,64,2,8,4,32",456,1,1,false
20250802_143629_w22zx,"peter",countdown,141,2025-08-02T02:37:48.432Z,Down,1404,"4,4,32,128,2,8,16,4,0,0,8,64,0,0,4,32",821,1,1,false
20250802_143629_w22zx,"peter",countdown,142,2025-08-02T02:37:49.298Z,Down,1404,"0,8,32,128,2,8,16,4,2,0,8,64,0,0,4,32",866,1,0,false
20250802_143629_w22zx,"peter",countdown,143,2025-08-02T02:37:49.973Z,Right,1424,"0,8,32,128,2,8,16,4,0,2,8,64,0,2,4,32",675,1,2,false
