Session ID,Player Name,Game Mode,Move Number,Timestamp,Direction,Score,Board State,Move Time,Tiles Added,Tiles Removed,Is Bad Move
20250801_162156_oej58,"Simon",countup,103,2025-08-01T04:22:06.702Z,Left,952,"2,4,2,0,8,16,8,2,16,128,4,2,8,16,2,8",13,1,1,true
20250801_162156_oej58,"Simon",countup,104,2025-08-01T04:22:06.790Z,Right,952,"2,4,2,4,8,16,8,8,16,128,4,0,8,16,2,2",88,1,0,true
20250801_162156_oej58,"Simon",countup,105,2025-08-01T04:22:06.867Z,Down,956,"2,4,2,4,8,16,8,4,16,128,4,8,8,16,2,2",77,1,1,true
20250801_162156_oej58,"Simon",countup,106,2025-08-01T04:22:06.943Z,Left,964,"2,4,2,4,8,16,8,4,16,128,4,8,2,8,16,4",76,1,1,true
20250801_162156_oej58,"Simon",countup,107,2025-08-01T04:22:07.036Z,Right,980,"2,4,2,8,8,16,8,8,16,128,4,4,2,8,16,2",93,1,1,true
20250801_162156_oej58,"Simon",countup,108,2025-08-01T04:22:07.093Z,Down,992,"2,4,2,2,8,16,8,16,16,128,4,4,2,8,16,2",57,1,2,true
20250801_162156_oej58,"Simon",countup,109,2025-08-01T04:22:07.168Z,Left,1028,"0,2,4,4,8,16,8,16,2,16,128,8,2,8,16,2",74,1,2,true
20250801_162156_oej58,"Simon",countup,110,2025-08-01T04:22:07.299Z,Right,1028,"8,2,4,4,4,32,8,16,0,8,128,8,0,2,16,2",132,1,0,true
20250801_162156_oej58,"Simon",countup,111,2025-08-01T04:22:07.308Z,Down,1052,"0,2,4,4,2,32,8,16,8,8,128,8,4,2,16,2",9,1,2,true
20250801_162156_oej58,"Simon",countup,112,2025-08-01T04:22:07.406Z,Left,1052,"0,2,2,8,2,32,8,16,0,16,128,8,4,2,16,2",98,1,0,true
20250801_162156_oej58,"Simon",countup,113,2025-08-01T04:22:07.513Z,Right,1052,"2,2,2,8,4,32,8,16,2,16,128,8,0,2,16,2",107,1,0,true
20250801_162156_oej58,"Simon",countup,114,2025-08-01T04:22:07.586Z,Up,1060,"2,2,2,8,2,32,8,16,4,16,128,8,2,2,16,2",73,1,2,true
